id,post_id,reply,created_at,updated_at
1,1,Minusta onkin tulossa uusi jymyjuttu syyskuun Hymy-lehteen ensi viikolla.,,
2,2,"Minusta otettiin Playboy-koekuvat vähän aikaa sitten, ja ne lähetetään Amerikan Playboylle tarjolle.",,
3,2,Kuvat ovat ”minun henkisiäni” – ne on toteutettu ”karkkimaassa” ja Barbie-tyylisesti.,,
4,4,Tapasimme sisareni Julian kanssa suomalaisen Playboy-kuvaaja Jarmo Pohjaniemen Miamissa vuonna 2004.,,
5,4,Hän lähetteli minulle myös paljon meiliä.,,
6,4,Hän oli erittäin kiinnostunut meistä molemmista.,,
7,7,Muistan että hän kehui meitä kauniiksi tytöiksi.,,
8,8,Painoa olisi pitänyt kuulemma pudottaa.,,
9,10,Padre del moderno   pianoforte,,
10,10,Impossível que a nossa língua,,
